feature,feature,type,p_value,relevant
T_x__sample_entropy,T_x__sample_entropy,real,0.00021880304264954714,True
F_z__mean_n_absolute_max__number_of_maxima_7,F_z__mean_n_absolute_max__number_of_maxima_7,real,0.0002194265995731537,True
F_z__permutation_entropy__dimension_3__tau_1,F_z__permutation_entropy__dimension_3__tau_1,real,0.00022005596459976425,True
"F_z__fft_coefficient__attr_""real""__coeff_3","F_z__fft_coefficient__attr_""real""__coeff_3",real,0.00022377846207553566,True
"F_z__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4","F_z__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",real,0.00022377846207553566,True
"T_x__linear_trend__attr_""pvalue""","T_x__linear_trend__attr_""pvalue""",real,0.00022377846207553566,True
"T_x__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""","T_x__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",real,0.00022377846207553566,True
"T_z__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""","T_z__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",real,0.00023273841345837747,True
F_y__fourier_entropy__bins_3,F_y__fourier_entropy__bins_3,real,0.00025115037032956693,True
"T_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0","T_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",real,0.00025313902410054284,True
"F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4","F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",real,0.00025879633613578245,True
T_x__minimum,T_x__minimum,real,0.0002649363922188067,True
T_y__has_duplicate_min,T_y__has_duplicate_min,binary,0.0002718146414685544,True
F_x__count_below__t_0,F_x__count_below__t_0,real,0.0002750927077091519,True
"F_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0","F_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",real,0.00027919307033479344,True
T_y__fourier_entropy__bins_10,T_y__fourier_entropy__bins_10,real,0.0002871515141810653,True
T_z__symmetry_looking__r_0.15000000000000002,T_z__symmetry_looking__r_0.15000000000000002,binary,0.00028928033820344636,True
F_x__autocorrelation__lag_6,F_x__autocorrelation__lag_6,real,0.00029787996674783925,True
"T_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0","T_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",real,0.00030044128506982997,True
"T_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6","T_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",real,0.0003370911567444504,True
F_z__last_location_of_maximum,F_z__last_location_of_maximum,real,0.00034368736190054037,True
T_y__fourier_entropy__bins_5,T_y__fourier_entropy__bins_5,real,0.00035662976241291114,True
F_z__lempel_ziv_complexity__bins_100,F_z__lempel_ziv_complexity__bins_100,real,0.00035810337045199826,True
F_x__approximate_entropy__m_2__r_0.3,F_x__approximate_entropy__m_2__r_0.3,real,0.0003724743498725543,True
F_x__maximum,F_x__maximum,real,0.0003822238284048108,True
T_z__count_below__t_0,T_z__count_below__t_0,real,0.00039629300496443683,True
"F_x__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""","F_x__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",real,0.00040122844420135344,True
"F_y__agg_autocorrelation__f_agg_""mean""__maxlag_40","F_y__agg_autocorrelation__f_agg_""mean""__maxlag_40",real,0.00040945684927972146,True
"F_z__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)",real,0.00040945684927972146,True
F_y__permutation_entropy__dimension_4__tau_1,F_y__permutation_entropy__dimension_4__tau_1,real,0.0004142839985994329,True
T_y__permutation_entropy__dimension_4__tau_1,T_y__permutation_entropy__dimension_4__tau_1,real,0.00041433301595197023,True
T_z__symmetry_looking__r_0.25,T_z__symmetry_looking__r_0.25,binary,0.000474354894755216,True
"T_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6","T_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",real,0.0004954837444289137,True
T_x__ratio_beyond_r_sigma__r_1,T_x__ratio_beyond_r_sigma__r_1,real,0.0004983887518598969,True
T_y__permutation_entropy__dimension_5__tau_1,T_y__permutation_entropy__dimension_5__tau_1,real,0.0005010446940353304,True
F_y__last_location_of_minimum,F_y__last_location_of_minimum,real,0.000502025376888479,True
"F_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0","F_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",real,0.0005059673137803334,True
T_x__fourier_entropy__bins_2,T_x__fourier_entropy__bins_2,real,0.0005067111865003204,True
"T_x__agg_autocorrelation__f_agg_""median""__maxlag_40","T_x__agg_autocorrelation__f_agg_""median""__maxlag_40",real,0.0005105164606837449,True
T_x__last_location_of_maximum,T_x__last_location_of_maximum,real,0.0005148371316288383,True
"T_z__agg_autocorrelation__f_agg_""mean""__maxlag_40","T_z__agg_autocorrelation__f_agg_""mean""__maxlag_40",real,0.0005294375040794224,True
"T_y__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""","T_y__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",real,0.0005348361707899487,True
"T_x__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""","T_x__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",real,0.0005379370611976764,True
F_y__quantile__q_0.8,F_y__quantile__q_0.8,real,0.0005449926578515368,True
F_y__number_crossing_m__m_1,F_y__number_crossing_m__m_1,real,0.0005473469206626968,True
F_x__number_crossing_m__m_1,F_x__number_crossing_m__m_1,real,0.0005588065562740244,True
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",real,0.0005684897723374412,True
F_x__energy_ratio_by_chunks__num_segments_10__segment_focus_3,F_x__energy_ratio_by_chunks__num_segments_10__segment_focus_3,real,0.0005902943531162683,True
T_y__has_duplicate_max,T_y__has_duplicate_max,binary,0.000591015852091449,True
"T_z__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""","T_z__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",real,0.0006118501399262374,True
T_y__ratio_beyond_r_sigma__r_2,T_y__ratio_beyond_r_sigma__r_2,real,0.0006313707364333147,True
T_x__energy_ratio_by_chunks__num_segments_10__segment_focus_4,T_x__energy_ratio_by_chunks__num_segments_10__segment_focus_4,real,0.0006344527674749754,True
"T_z__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""","T_z__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",real,0.0006426563233850799,True
F_x__count_above_mean,F_x__count_above_mean,real,0.0006658516949938849,True
"T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6","T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",real,0.000674116800314057,True
T_y__minimum,T_y__minimum,real,0.0006837637945920873,True
T_z__maximum,T_z__maximum,real,0.0006872200518621354,True
T_x__lempel_ziv_complexity__bins_2,T_x__lempel_ziv_complexity__bins_2,real,0.0007188879234719083,True
F_z__autocorrelation__lag_7,F_z__autocorrelation__lag_7,real,0.0007320525054987408,True
F_x__fourier_entropy__bins_2,F_x__fourier_entropy__bins_2,real,0.000765572519468133,True
"T_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2","T_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",real,0.0007790070170259579,True
T_y__kurtosis,T_y__kurtosis,real,0.0007859210348852658,True
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",real,0.0008089700334384253,True
"F_x__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""","F_x__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",real,0.0008141274438382706,True
"T_x__fft_aggregated__aggtype_""variance""","T_x__fft_aggregated__aggtype_""variance""",real,0.0008142140508589987,True
F_z__count_below_mean,F_z__count_below_mean,real,0.0008153867457848948,True
T_z__symmetry_looking__r_0.1,T_z__symmetry_looking__r_0.1,binary,0.0008397743651799424,True
"F_z__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""","F_z__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",real,0.0008704432819674461,True
T_z__partial_autocorrelation__lag_1,T_z__partial_autocorrelation__lag_1,real,0.000873610483589885,True
T_z__autocorrelation__lag_1,T_z__autocorrelation__lag_1,real,0.000873610483589885,True
"T_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0","T_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",real,0.0009639199725727769,True
F_y__energy_ratio_by_chunks__num_segments_10__segment_focus_3,F_y__energy_ratio_by_chunks__num_segments_10__segment_focus_3,real,0.0009703498302275888,True
"T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6","T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",real,0.000985158642361123,True
T_z__spkt_welch_density__coeff_5,T_z__spkt_welch_density__coeff_5,real,0.001004740105026468,True
"F_y__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""","F_y__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",real,0.0010158639656994515,True
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",real,0.0010166698756243397,True
T_z__minimum,T_z__minimum,real,0.0010258393618301702,True
T_x__approximate_entropy__m_2__r_0.5,T_x__approximate_entropy__m_2__r_0.5,real,0.0010761629617267387,True
T_y__energy_ratio_by_chunks__num_segments_10__segment_focus_3,T_y__energy_ratio_by_chunks__num_segments_10__segment_focus_3,real,0.001076984778995471,True
F_x__autocorrelation__lag_2,F_x__autocorrelation__lag_2,real,0.001076984778995471,True
"F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2","F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",real,0.0010770103758923175,True
T_y__autocorrelation__lag_2,T_y__autocorrelation__lag_2,real,0.00111485346726571,True
"T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6","T_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",real,0.0011163917173994083,True
F_y__permutation_entropy__dimension_5__tau_1,F_y__permutation_entropy__dimension_5__tau_1,real,0.0011191887262578383,True
"F_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4","F_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",real,0.0011502734083492308,True
"F_x__fft_aggregated__aggtype_""centroid""","F_x__fft_aggregated__aggtype_""centroid""",real,0.001153950063854321,True
"F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6","F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",real,0.0011693813732659175,True
T_z__energy_ratio_by_chunks__num_segments_10__segment_focus_5,T_z__energy_ratio_by_chunks__num_segments_10__segment_focus_5,real,0.0011699332120137457,True
"F_y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""","F_y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",real,0.0011734399596906658,True
"F_x__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""","F_x__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",real,0.0011932819428622503,True
"T_y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""","T_y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",real,0.0012201122804252498,True
"F_z__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4","F_z__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",real,0.0012359716882823226,True
T_x__count_below__t_0,T_x__count_below__t_0,real,0.0012872581548138994,True
F_z__count_above_mean,F_z__count_above_mean,real,0.0013177128604977195,True
"T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",real,0.0013836208352388355,True
"T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4","T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",real,0.0014156500470008406,True
"F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4","F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",real,0.001418841259908023,True
F_x__count_below_mean,F_x__count_below_mean,real,0.0014315639499575628,True
T_y__fourier_entropy__bins_3,T_y__fourier_entropy__bins_3,real,0.0014402630071109984,True
F_z__time_reversal_asymmetry_statistic__lag_2,F_z__time_reversal_asymmetry_statistic__lag_2,real,0.0014651450662337981,True
T_y__permutation_entropy__dimension_6__tau_1,T_y__permutation_entropy__dimension_6__tau_1,real,0.001466402332857097,True
"T_z__fft_aggregated__aggtype_""variance""","T_z__fft_aggregated__aggtype_""variance""",real,0.0015153655159495698,True
F_z__permutation_entropy__dimension_5__tau_1,F_z__permutation_entropy__dimension_5__tau_1,real,0.0015288814321481538,True
F_z__maximum,F_z__maximum,real,0.0016132893947187902,True
"F_z__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4","F_z__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4",real,0.0016461007556540165,True
T_z__variation_coefficient,T_z__variation_coefficient,real,0.0016471936962576493,True
"T_x__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""","T_x__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",real,0.0016478965466938476,True
T_x__number_peaks__n_1,T_x__number_peaks__n_1,real,0.0017026999879081336,True
T_y__number_cwt_peaks__n_1,T_y__number_cwt_peaks__n_1,real,0.0017190813142292825,True
T_y__count_below__t_0,T_y__count_below__t_0,real,0.0017246060962352182,True
"T_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0","T_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",real,0.001739092190081628,True
"F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8","F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",real,0.0017788876068982507,True
T_x__quantile__q_0.1,T_x__quantile__q_0.1,real,0.0018205284067943485,True
F_y__has_duplicate_max,F_y__has_duplicate_max,binary,0.0018392114837488811,True
"F_y__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)","F_y__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)",real,0.0018521144483488554,True
"F_y__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)","F_y__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)",real,0.0018521144483488554,True
T_y__lempel_ziv_complexity__bins_3,T_y__lempel_ziv_complexity__bins_3,real,0.001857025936355828,True
T_y__quantile__q_0.1,T_y__quantile__q_0.1,real,0.0019055773728556536,True
F_z__time_reversal_asymmetry_statistic__lag_1,F_z__time_reversal_asymmetry_statistic__lag_1,real,0.0019144915510198052,True
F_x__quantile__q_0.2,F_x__quantile__q_0.2,real,0.0019229858615537748,True
F_y__quantile__q_0.7,F_y__quantile__q_0.7,real,0.0019326308153480144,True
"T_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0","T_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",real,0.001981099239207106,True
T_z__large_standard_deviation__r_0.35000000000000003,T_z__large_standard_deviation__r_0.35000000000000003,binary,0.0019909473401262447,True
T_z__quantile__q_0.9,T_z__quantile__q_0.9,real,0.0020067584882956175,True

